home_win_pct,home_obp,home_home_runs,home_ops,home_era,home_whip,home_strikeouts,away_win_pct,away_obp,away_home_runs,away_ops,away_era,away_whip,away_strikeouts,is_home,game_winner
0.18181818181818182,.300,8,.655,5.16,1.57,74,0.5833333333333334,.314,15,.719,5.21,1.32,107,1,0
0.4166666666666667,.316,8,.695,3.75,1.09,107,0.6666666666666666,.312,24,.772,4.17,1.31,97,1,0
0.5,.304,16,.681,3.93,1.43,93,0.16666666666666666,.273,9,.578,3.96,1.29,92,1,1
0.5384615384615384,.287,6,.611,2.97,1.17,111,0.3076923076923077,.270,9,.596,4.05,1.27,104,1,1
0.25,.313,9,.688,4.89,1.53,84,0.5384615384615384,.310,15,.702,5.40,1.37,114,1,1
0.5,.331,11,.716,3.86,1.34,102,0.5714285714285714,.332,6,.676,3.21,1.10,126,1,1
0.25,.303,9,.638,4.01,1.34,105,0.6666666666666666,.355,14,.771,3.50,1.21,125,1,1
0.5384615384615384,.312,17,.696,3.62,1.40,100,0.5,.288,6,.602,3.06,1.22,117,1,1
0.42857142857142855,.270,13,.595,3.14,0.97,103,0.35714285714285715,.287,9,.586,4.31,1.34,123,1,1
0.46153846153846156,.318,10,.713,3.69,1.09,116,0.23076923076923078,.301,11,.646,4.20,1.35,111,1,1
0.5384615384615384,.345,26,.842,4.94,1.32,131,0.7692307692307693,.304,15,.715,2.74,1.18,116,1,0
0.46153846153846156,.310,9,.656,3.93,1.35,96,0.46153846153846156,.311,18,.738,4.46,1.49,106,1,0
0.23076923076923078,.284,9,.601,3.72,1.27,103,0.4666666666666667,.329,11,.709,3.96,1.38,111,1,1
0.46153846153846156,.315,10,.642,3.72,1.07,140,0.6153846153846154,.311,25,.768,4.97,1.44,100,1,1
0.2857142857142857,.282,10,.615,4.13,1.28,112,0.6153846153846154,.343,16,.780,3.70,1.15,109,1,0
0.46153846153846156,.353,16,.782,4.85,1.25,97,0.6153846153846154,.342,14,.736,3.41,1.25,135,1,1
0.7857142857142857,.348,13,.774,3.07,1.13,122,0.23076923076923078,.301,9,.662,5.10,1.53,90,1,1
0.42857142857142855,.303,17,.648,3.83,1.35,117,0.6428571428571429,.273,17,.644,3.61,1.15,115,1,1
0.5,.338,17,.778,4.54,1.18,119,0.5714285714285714,.313,15,.702,5.01,1.31,119,1,0
0.35714285714285715,.316,20,.730,5.04,1.55,130,0.6923076923076923,.298,11,.662,2.41,1.23,125,1,0
0.7333333333333333,.313,29,.764,3.00,1.22,140,0.5625,.339,18,.737,4.40,1.40,120,1,1
0.38461538461538464,.309,12,.682,4.54,1.39,99,0.5714285714285714,.332,6,.676,3.21,1.10,126,1,1
0.26666666666666666,.277,10,.600,4.05,1.26,121,0.6428571428571429,.336,17,.762,3.43,1.10,114,1,0
0.42857142857142855,.351,16,.773,4.79,1.25,107,0.6428571428571429,.339,14,.728,3.24,1.25,140,1,0
0.5714285714285714,.348,27,.846,4.72,1.32,143,0.7142857142857143,.305,16,.712,3.15,1.23,124,1,1
0.4,.314,20,.726,4.77,1.51,140,0.6428571428571429,.294,12,.651,2.47,1.23,132,1,1
0.42857142857142855,.304,14,.678,4.50,1.41,102,0.5333333333333333,.337,7,.691,3.22,1.08,132,1,1
0.42857142857142855,.326,12,.731,3.78,1.16,127,0.2857142857142857,.313,15,.690,4.19,1.39,120,1,0
0.2857142857142857,.279,10,.591,3.59,1.28,114,0.4375,.330,11,.705,3.92,1.35,120,1,1
0.5,.315,10,.675,4.08,1.35,100,0.42857142857142855,.311,18,.723,4.68,1.50,110,1,1
0.5714285714285714,.315,18,.701,3.57,1.36,115,0.4666666666666667,.284,7,.596,3.28,1.24,124,1,1
0.4666666666666667,.272,14,.596,3.06,0.96,112,0.3333333333333333,.282,10,.579,4.39,1.31,130,1,1
0.42857142857142855,.308,11,.629,3.74,1.07,150,0.6428571428571429,.308,27,.763,4.68,1.39,110,1,0
0.5333333333333333,.345,17,.786,4.50,1.16,125,0.5333333333333333,.309,16,.694,5.02,1.36,126,1,1
0.8,.341,15,.763,2.86,1.09,131,0.21428571428571427,.293,9,.641,4.91,1.48,98,1,1
0.6875,.306,29,.740,3.83,1.32,144,0.5882352941176471,.350,22,.780,4.14,1.36,127,1,0
0.4666666666666667,.312,18,.675,3.71,1.33,124,0.6,.274,17,.640,3.95,1.19,122,1,1
